ano_publicacao;segmento;passo;parametro;grupo_calculo;nivel;input_ordem;input_label;input_valor;input_valor_pct;n_inputs_grupo;operacao;resultado_label;resultado_valor;resultado_pct;periodo_ini;periodo_fim;fonte
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2016;1;1;NTN-B venc 2017-05-15  (250 obs diárias);0,064496;6.4496%;7;media_simples_diaria→media_vencimentos;Rf_2016;0,06275125;6.2751%;2016-01-01;2016-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2016;1;2;NTN-B venc 2020-08-15  (250 obs diárias);0,0621116;6.2112%;7;media_simples_diaria→media_vencimentos;Rf_2016;0,06275125;6.2751%;2016-01-01;2016-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2016;1;3;NTN-B venc 2024-08-15  (250 obs diárias);0,0626988;6.2699%;7;media_simples_diaria→media_vencimentos;Rf_2016;0,06275125;6.2751%;2016-01-01;2016-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2016;1;4;NTN-B venc 2026-08-15  (234 obs diárias);0,06209957;6.2100%;7;media_simples_diaria→media_vencimentos;Rf_2016;0,06275125;6.2751%;2016-01-01;2016-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2016;1;5;NTN-B venc 2035-05-15  (250 obs diárias);0,0625692;6.2569%;7;media_simples_diaria→media_vencimentos;Rf_2016;0,06275125;6.2751%;2016-01-01;2016-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2016;1;6;NTN-B venc 2045-05-15  (250 obs diárias);0,062856;6.2856%;7;media_simples_diaria→media_vencimentos;Rf_2016;0,06275125;6.2751%;2016-01-01;2016-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2016;1;7;NTN-B venc 2050-08-15  (250 obs diárias);0,0624276;6.2428%;7;media_simples_diaria→media_vencimentos;Rf_2016;0,06275125;6.2751%;2016-01-01;2016-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2017;1;1;NTN-B venc 2017-05-15  (89 obs diárias);0,06940674;6.9407%;7;media_simples_diaria→media_vencimentos;Rf_2017;0,0542235;5.4223%;2017-01-01;2017-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2017;1;2;NTN-B venc 2020-08-15  (246 obs diárias);0,04691707;4.6917%;7;media_simples_diaria→media_vencimentos;Rf_2017;0,0542235;5.4223%;2017-01-01;2017-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2017;1;3;NTN-B venc 2024-08-15  (246 obs diárias);0,0512935;5.1293%;7;media_simples_diaria→media_vencimentos;Rf_2017;0,0542235;5.4223%;2017-01-01;2017-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2017;1;4;NTN-B venc 2026-08-15  (246 obs diárias);0,05234675;5.2347%;7;media_simples_diaria→media_vencimentos;Rf_2017;0,0542235;5.4223%;2017-01-01;2017-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2017;1;5;NTN-B venc 2035-05-15  (246 obs diárias);0,0528187;5.2819%;7;media_simples_diaria→media_vencimentos;Rf_2017;0,0542235;5.4223%;2017-01-01;2017-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2017;1;6;NTN-B venc 2045-05-15  (246 obs diárias);0,05356504;5.3565%;7;media_simples_diaria→media_vencimentos;Rf_2017;0,0542235;5.4223%;2017-01-01;2017-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2017;1;7;NTN-B venc 2050-08-15  (246 obs diárias);0,05321667;5.3217%;7;media_simples_diaria→media_vencimentos;Rf_2017;0,0542235;5.4223%;2017-01-01;2017-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2018;1;1;NTN-B venc 2020-08-15  (246 obs diárias);0,03655528;3.6555%;6;media_simples_diaria→media_vencimentos;Rf_2018;0,04962358;4.9624%;2018-01-01;2018-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2018;1;2;NTN-B venc 2024-08-15  (246 obs diárias);0,04944268;4.9443%;6;media_simples_diaria→media_vencimentos;Rf_2018;0,04962358;4.9624%;2018-01-01;2018-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2018;1;3;NTN-B venc 2026-08-15  (246 obs diárias);0,05063293;5.0633%;6;media_simples_diaria→media_vencimentos;Rf_2018;0,04962358;4.9624%;2018-01-01;2018-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2018;1;4;NTN-B venc 2035-05-15  (246 obs diárias);0,05311667;5.3117%;6;media_simples_diaria→media_vencimentos;Rf_2018;0,04962358;4.9624%;2018-01-01;2018-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2018;1;5;NTN-B venc 2045-05-15  (246 obs diárias);0,05401707;5.4017%;6;media_simples_diaria→media_vencimentos;Rf_2018;0,04962358;4.9624%;2018-01-01;2018-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2018;1;6;NTN-B venc 2050-08-15  (246 obs diárias);0,05397683;5.3977%;6;media_simples_diaria→media_vencimentos;Rf_2018;0,04962358;4.9624%;2018-01-01;2018-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2019;1;1;NTN-B venc 2020-08-15  (201 obs diárias);0,0238;2.3800%;6;media_simples_diaria→media_vencimentos;Rf_2019;0,0345108;3.4511%;2019-01-01;2019-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2019;1;2;NTN-B venc 2024-08-15  (250 obs diárias);0,0321732;3.2173%;6;media_simples_diaria→media_vencimentos;Rf_2019;0,0345108;3.4511%;2019-01-01;2019-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
2026;transmissao;[1] Rf;rf_venc_media;rf_venc_2019;1;3;NTN-B venc 2026-08-15  (250 obs diárias);0,0340236;3.4024%;6;media_simples_diaria→media_vencimentos;Rf_2019;0,0345108;3.4511%;2019-01-01;2019-12-31;Tesouro Nacional / NTN-B (taxa compra manhã)
